datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
1/26/2018,3.4,-3.6,-0.1,1.9,-6.8,-2.4,38.5,0,0,0,0,18.4,251.5,16,6,1/26/2018 7:11:18 AM,1/26/2018 5:06:19 PM,Clear,Clear conditions throughout the day.,clear-day
1/27/2018,13.1,1.7,7.6,13.1,-0.6,6.5,58.5,0,0,0,0,18,262.1,16,5,1/27/2018 7:10:30 AM,1/27/2018 5:07:33 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
1/28/2018,12.2,7.9,9.9,12.2,5.8,9.3,75.7,6.074,100,50,0,14.7,253.6,14.8,2,1/28/2018 7:09:40 AM,1/28/2018 5:08:47 PM,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1/29/2018,7.8,3.3,5.7,5.9,-1.7,1.8,59.9,1.443,100,4.17,0,30.8,49.1,16,3,1/29/2018 7:08:48 AM,1/29/2018 5:10:01 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
1/30/2018,2.8,-2.9,0.7,0.6,-5.9,-2.5,74.7,1.102,100,50,0.1,23.8,35.6,14.3,2,1/30/2018 7:07:54 AM,1/30/2018 5:11:15 PM,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,snow
1/31/2018,1.6,-6.7,-2.4,-0.8,-12,-6.9,53.1,0.464,100,8.33,0,33.5,251.5,16,6,1/31/2018 7:06:58 AM,1/31/2018 5:12:29 PM,"Snow, Rain",Clear conditions throughout the day with rain.,rain
2/1/2018,6.2,0,3.5,6.1,-5.3,1.1,61.1,0.037,100,12.5,0,20.4,241,16,3,2/1/2018 7:06:01 AM,2/1/2018 5:13:43 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2/2/2018,4.4,-7.2,-1.3,4.4,-12.8,-4.5,61,5.237,100,37.5,0,15,269.7,15.9,5,2/2/2018 7:05:02 AM,2/2/2018 5:14:58 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
2/3/2018,0.6,-7.9,-3.8,-3.6,-15.1,-9.6,52.5,0,0,0,0,23.5,253.5,16,5,2/3/2018 7:04:01 AM,2/3/2018 5:16:12 PM,Clear,Clear conditions throughout the day.,clear-day
2/4/2018,7.8,-1.1,3.1,7.2,-6.3,0.4,72.5,21.768,100,41.67,0,21.7,267.2,14.7,3,2/4/2018 7:02:58 AM,2/4/2018 5:17:26 PM,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
2/5/2018,5,-2.2,1.6,2.9,-7,-1.4,62.7,1.671,100,20.83,0,21.5,271,15.6,6,2/5/2018 7:01:54 AM,2/5/2018 5:18:41 PM,"Rain, Partially cloudy",Clear conditions throughout the day with afternoon rain.,rain
2/6/2018,2.9,-2.8,0.3,0.7,-5.3,-2.4,54.9,0.934,100,12.5,0,23.4,42.6,16,3,2/6/2018 7:00:49 AM,2/6/2018 5:19:55 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
